inventory
5,41
9,1
10,1
1,64
2,64
3,64
6,47
3,64
3,64
3,64
terrain
0
0.180000
24.000000
4
1000
2.000000
0.500000
world
3,1,35,0
3,1,34,0
3,1,33,0
3,1,32,0
3,1,31,0
3,1,30,0
3,1,29,0
3,1,28,0
3,1,27,0
3,1,26,0
3,1,25,0
3,1,24,0
3,1,23,0
3,1,22,0
3,1,21,0
3,1,20,0
3,1,19,0
3,1,18,0
3,1,17,0
3,1,16,0
3,1,15,0
3,1,14,0
3,1,13,0
3,1,12,0
5,20,13,0
4,19,12,0
4,19,13,0
4,19,14,0
4,20,12,0
4,20,13,0
4,20,14,0
4,21,12,0
4,21,13,0
4,21,14,0
5,19,12,0
5,19,13,0
5,19,14,0
5,20,12,0
5,20,14,0
5,21,12,0
5,21,13,0
5,21,14,0
6,19,12,0
6,19,13,0
6,19,14,0
6,20,12,0
6,20,13,0
6,20,14,0
6,21,12,0
6,21,13,0
6,21,14,0
3,18,11,0
3,18,12,0
3,18,13,0
3,19,11,0
3,19,12,0
3,19,13,0
3,20,11,0
3,20,12,0
3,20,13,0
4,18,11,0
4,18,12,0
4,18,13,0
4,19,11,0
4,20,11,0
5,18,11,0
5,18,12,0
5,18,13,0
5,19,11,0
5,20,11,0
3,18,14,0
3,19,14,0
3,20,14,0
4,18,14,0
5,18,14,0
3,18,15,0
3,19,15,0
3,20,15,0
4,18,15,0
4,19,15,0
4,20,15,0
5,18,15,0
5,19,15,0
5,20,15,0
3,21,11,0
3,21,12,0
3,21,13,0
4,21,11,0
-7,11,21,0
-8,10,20,0
-8,10,21,0
-8,10,22,0
-8,11,20,0
-8,11,21,0
-8,11,22,0
-8,12,20,0
-8,12,21,0
-8,12,22,0
-7,10,20,0
-7,10,21,0
-7,10,22,0
-7,11,20,0
-7,11,22,0
-7,12,20,0
-7,12,21,0
-7,12,22,0
-6,10,20,0
-6,10,21,0
-6,10,22,0
-6,11,20,0
-6,11,21,0
-6,11,22,0
-6,12,20,0
-6,12,21,0
-6,12,22,0
-9,9,19,0
-9,9,20,0
-9,9,21,0
-9,10,19,0
-9,10,20,0
-9,10,21,0
-9,11,19,0
-9,11,20,0
-9,11,21,0
-8,9,19,0
-8,9,20,0
-8,9,21,0
-8,10,19,0
-8,11,19,0
-7,9,19,0
-7,9,20,0
-7,9,21,0
-7,10,19,0
-7,11,19,0
-9,9,22,0
-9,10,22,0
-9,11,22,0
-8,9,22,0
-7,9,22,0
-9,9,23,0
-9,10,23,0
-9,11,23,0
-8,9,23,0
-8,10,23,0
-8,11,23,0
-7,9,23,0
-7,10,23,0
-7,11,23,0
-9,12,19,0
-9,12,20,0
-9,12,21,0
-8,12,19,0
-3,15,20,0
-4,14,19,0
-4,14,20,0
-4,14,21,0
-4,15,19,0
-4,15,20,0
-4,15,21,0
-4,16,19,0
-4,16,20,0
-4,16,21,0
-3,14,19,0
-3,14,20,0
-3,14,21,0
-3,15,19,0
-3,15,21,0
-3,16,19,0
-3,16,20,0
-3,16,21,0
-2,14,19,0
-2,14,20,0
-2,14,21,0
-2,15,19,0
-2,15,20,0
-2,15,21,0
-2,16,19,0
-2,16,20,0
-2,16,21,0
-5,13,18,0
-5,13,19,0
-5,13,20,0
-5,14,18,0
-5,14,19,0
-5,14,20,0
-5,15,18,0
-5,15,19,0
-5,15,20,0
-4,13,18,0
-4,13,19,0
-4,13,20,0
-4,14,18,0
-4,15,18,0
-3,13,18,0
-3,13,19,0
-3,13,20,0
-3,14,18,0
-3,15,18,0
-5,13,21,0
-5,14,21,0
-5,15,21,0
-4,13,21,0
-3,13,21,0
-5,13,22,0
-5,14,22,0
-5,15,22,0
-4,13,22,0
-4,14,22,0
-4,15,22,0
-3,13,22,0
-3,14,22,0
-3,15,22,0
-5,16,18,0
-5,16,19,0
-5,16,20,0
-4,16,18,0
-1,18,19,0
-2,17,18,0
-2,17,19,0
-2,17,20,0
-2,18,18,0
-2,18,19,0
-2,18,20,0
-2,19,18,0
-2,19,19,0
-2,19,20,0
-1,17,18,0
-1,17,19,0
